1452,1452,1476,1476,1476,1476,1501,1501,1501,1492,1492,1492,1492,1527,1527
1452,1452,1476,1476,1476,1476,1501,1501,1501,1492,1492,1492,1492,1527,1527
1538,1538,1521,1521,1521,1521,1566,1566,1566,1619,1619,1619,1619,1699,1699
1538,1538,1521,1521,1521,1521,1566,1566,1566,1619,1619,1619,1619,1699,1699
1538,1538,1521,1521,1521,1521,1566,1566,1566,1619,1619,1619,1619,1699,1699
1800,1800,1677,1677,1677,1677,2027,2027,2027,2069,2069,2069,2069,1963,1963
1800,1800,1677,1677,1677,1677,2027,2027,2027,2069,2069,2069,2069,1963,1963
1800,1800,1677,1677,1677,1677,2027,2027,2027,2069,2069,2069,2069,1963,1963
2283,2283,1803,1803,1803,1803,2309,2309,2309,2255,2255,2255,2255,2201,2201
2283,2283,1803,1803,1803,1803,2309,2309,2309,2255,2255,2255,2255,2201,2201
2367,2367,1795,1795,1795,1795,2038,2038,2038,2330,2330,2330,2330,2234,2234
2367,2367,1795,1795,1795,1795,2038,2038,2038,2330,2330,2330,2330,2234,2234
2367,2367,1795,1795,1795,1795,2038,2038,2038,2330,2330,2330,2330,2234,2234
2206,2206,1897,1897,1897,1897,2292,2292,2292,2343,2343,2343,2343,2388,2388
2206,2206,1897,1897,1897,1897,2292,2292,2292,2343,2343,2343,2343,2388,2388
